// Iron Durability 
    // Iron Durability II

    new entry "Shout_IronDurability_TempHP"
    type "SpellData"
    data "Level" "1"
    data "SpellType" "Shout"
    data "TargetConditions" "Self()"
    data "Icon" "Spell_Evocation_CureWounds"
    data "SpellProperties" "ApplyStatus(ID_TEMPHP,100,-1)"
    data "DisplayName" "[HANDLEShout_IronDurability_TempHPName]"
    data "Description" "[HANDLEShout_IronDurability_TempHPDesc]"
    data "CastSound" "Spell_Cast_Healing_CureWounds_L1to3"
    data "TargetSound" "Spell_Impact_Healing_CureWounds_L1to3"
    data "VocalComponentSound" "Vocal_Component_BoostMaxHP"
    data "DescriptionParams" "GainTemporaryHitPoints(SpellCastingAbilityModifier)"
    data "UseCosts" "BonusActionPoint:1;PsiPointsResource:1"
    data "SpellAnimation" "414bbf02-2918-4f01-83fb-1ddc7a588d88,,;,,;4156d364-d2c0-4a01-908c-3552f78f434d,,;6f0a29b6-0ae8-4ebf-a1e4-8069c4a6ad16,,;0c5dcc83-fa78-41da-b6a5-440b5ea30936,,;,,;bea988a0-2ec5-40d8-a67e-ffbd7454bc53,,;,,;,,"
    data "CastTextEvent" "Cast"
    data "VerbalIntent" "Healing"
    data "HitAnimationType" "MagicalNonDamage"
    data "SpellFlags" "IsSpell"
    data "CastEffect" "ce5a1256-d5c8-45b5-98fc-ee9a16e3673c"

    // Iron Durability III
    
    new entry "Shout_IronDurability_AbsorbElements"
    type "SpellData"
    data "SpellType" "Shout"
    data "TargetConditions" "Self()"
    data "Icon" "Spell_Shield"
    data "DisplayName" "h1a40d3e6gd2bag442fgbdc8g3c97b3ff14f9"
    data "Description" "h01b5f695gf96cg46ddg84c4g3046c51ffea8"
    data "TooltipStatusApply" "ApplyStatus(ID_RESISTANCE_FIRE,100,1)"
    data "CastTextEvent" "Cast"
    data "UseCosts" "ReactionActionPoint:1;PsiPointsResource:3"
